uri,om_funcionamiento,om_proteccion,om_tipoLuz,om_materialS,geo_long,om_potencia,om_tipoLampara,geo_lat,om_altura,om_tipoSoporte,om_circuitos,om_materialL
http://opendata.caceres.es/recurso/energia/farolas/Farola/11216,S,F,AC,F,-6.384048180741684,250,VSAP,39.466642975314095,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11217,S,F,AC,F,-6.384302021374918,250,VSAP,39.466746684980116,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11218,S,F,AC,F,-6.384551144918296,250,VSAP,39.46684651955095,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11219,S,F,AC,F,-6.384698588273763,250,VSAP,39.46691865515274,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11220,S,F,AC,F,-6.384663871643555,250,VSAP,39.46693671941475,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11221,S,F,AC,F,-6.384737034131454,250,VSAP,39.466930827299116,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11222,S,F,AC,F,-6.38493412365022,250,VSAP,39.46699179900916,10,Ba,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11223,S,F,AC,F,-6.385188107963072,250,VSAP,39.46709174160558,10,Ba,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11224,S,F,AC,F,-6.385437375120173,250,VSAP,39.46718780823907,10,Ba,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11225,S,F,AC,F,-6.388454697767521,150,VSAP,39.46771259387777,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11226,S,F,AC,F,-6.388219718273364,150,VSAP,39.46762439334861,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11227,S,F,AC,F,-6.387527675399399,150,VSAP,39.46778686158005,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11228,S,F,AC,F,-6.387710830651627,150,VSAP,39.467700520325664,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11229,S,F,AC,F,-6.387710830651627,150,VSAP,39.467700520325664,10,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11230,N,F,ER,F,-6.38876082217908,125,VMCC,39.46728235762497,6,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11231,S,F,AC,F,-6.386285877903331,250,VSAP,39.467417911679206,12,Ba,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11232,S,F,ER,F,-6.384882655964185,125,VMCC,39.466310590756784,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11233,S,F,ER,F,-6.384800478941141,125,VMCC,39.466189181968254,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11234,S,F,ER,F,-6.384586769284109,125,VMCC,39.466117774971885,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11235,S,F,ER,F,-6.384531873412295,125,VMCC,39.46618585964578,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11236,S,F,ER,F,-6.384208854290828,125,VMCC,39.46604313297952,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11237,S,F,ER,F,-6.384475324394801,125,VMCC,39.46600828628802,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11238,S,F,ER,F,-6.384898516070078,125,VMCC,39.46603321221385,6,C,2,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11239,S,F,ER,F,-6.38475747748056,125,VMCC,39.465928273068975,6,C,2,P
